Coin Type,Year,Mint Mark,Face Value (USD),Current Worth (USD)
Lincoln Cent,1943,D,0.01,0.25
Lincoln Cent,1909,S VDB,0.01,750.0
Lincoln Cent,1955,None,0.01,1500.0
Lincoln Cent,1914,D,0.01,200.0
Jefferson Nickel,1950,D,0.05,10.0
Jefferson Nickel,1938,S,0.05,1.5
Buffalo Nickel,1913,D,0.05,50.0
Mercury Dime,1942,None,0.1,2.0
Mercury Dime,1916,D,0.1,900.0
Roosevelt Dime,1964,D,0.1,2.5
Roosevelt Dime,1980,P,0.1,0.1
Washington Quarter,1932,D,0.25,150.0
Washington Quarter,1965,None,0.25,0.25
Washington Quarter,1955,S,0.25,8.0
Standing Liberty Quarter,1917,D,0.25,100.0
Kennedy Half Dollar,1964,D,0.5,10.0
Kennedy Half Dollar,1976,S,0.5,3.0
Franklin Half Dollar,1955,P,0.5,12.0
Walking Liberty Half Dollar,1936,S,0.5,50.0
Morgan Dollar,1881,S,1.0,60.0
Morgan Dollar,1893,S,1.0,3000.0
Peace Dollar,1921,P,1.0,150.0
Eisenhower Dollar,1971,D,1.0,2.0
Susan B. Anthony Dollar,1979,P,1.0,1.25
Sacagawea Dollar,2000,D,1.0,1.5
American Silver Eagle,2020,W,1.0,30.0
American Gold Eagle,2020,W,50.0,2000.0
